id,projectId,label,icon,sortOrder
3f06dd8b-7839-452f-a460-6cee33183bd2,12ae60bb-6415-427c-86ad-adcb52eb5a8f,"40,000 Sq.Ft. Clubhouse",🏢,0
4013b464-92b0-44f9-ace5-9e2279ce3229,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,Floating Sauna & Scenic Pool,🏊,0
40a991a4-71f4-4be1-8796-fdc887a55f7a,37475cb7-21c0-4c64-ba62-5174ca162a47,Wellness & Yoga Zones,🧘,0
42e545a8-60ba-462b-94fd-c4e5c5456c3a,165ef67e-ef7b-4dde-9a9b-817a92875500,Multiplex by PVR,🎥,0
4455d264-020b-4cde-be7a-e5e111204792,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,Signature Concierge Services,🤵,0
447f851d-de9f-423c-b5e9-f86ab246ff25,8e7d9d67-660b-4099-b583-f39f14bf9a26,Wellness & Co-Working Zones,🧘,0
448fd3ce-0376-4aec-a5ef-6cf99068645e,a9fb2cee-4190-4f2f-9940-8be2199e38e3,Flexible Payment Plans,💳,0
449e6f09-2f8b-419b-b061-9a9934499858,ae24318b-3030-428a-94f6-c9c93e7789f6,Panoramic Aravalli Views,🏞️,0
44e5e8c9-1e6e-434e-943f-36f959b58d50,6a3994f8-8b87-441d-8d43-732f7162ac90,Imported Marble & Wooden Flooring,🪵,0
44fee64b-9538-46cf-9c14-02604ed9b860,049251cb-0089-4e71-8624-88c23074f082,46-Floor Skyline Towers,🏢,0
462f3c8e-294e-44c3-a351-75e26be47751,3fed7102-bc0c-4fe5-a6b4-b30868757223,"75,000+ Sq.Ft. Clubhouse",🏢,0
46ca7f56-b6e6-4d6c-8281-c2ab34a2c34d,9301a8cc-a2ab-4828-98a8-455229bd4beb,Prime Location on Golf Course Ext. Road,📍,0
46ff973f-9eea-407c-977f-62ccf902c972,8e7d9d67-660b-4099-b583-f39f14bf9a26,7 Swimming Pools,🏊,0
479dd47a-56b5-4e32-a53b-5ed7d277a8d9,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,Wraparound Balconies & Green Views,🌄,0
484d9c50-fd73-4541-ae89-a2b8f1e143d1,3fed7102-bc0c-4fe5-a6b4-b30868757223,Infinity-Edge Swimming Pool,🏊,0
4869852f-0cfa-43dc-9049-f42682a21c25,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,Modular Kitchen & Premium Interiors,🍽️,0
49622fd3-d776-4862-a324-2d7b4685f585,d6239c57-d7ed-4da1-84cc-3330b1ea324c,Central plaza for events & gatherings,🏞️,0
49978f06-434d-42d8-abd7-ed020f0ff4f6,bd535d19-6a06-45cc-a692-3d56849d8e89,Panoramic High-Speed Capsule Elevators,🚀,0
4a1b8a37-f09f-4c12-9c8a-c48724a945f0,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,Private Elevators for Residences,🛗,0
4a82a663-7cf6-4b16-b988-4015cba94f1c,bfdbaac8-419e-473e-ae73-6edd80f14387,3-Tier Security,🛡️,0
4af43353-4521-4b6f-974e-96b10078453e,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,Wrap-Around Balconies,🛋️,0
4bbb0190-aeca-4851-b911-b88661d2fb95,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,IGBC Platinum Pre-certified,🏅,0
4c114f4e-9fa0-4ca0-b479-7385d9dd0360,a9fb2cee-4190-4f2f-9940-8be2199e38e3,Two Apartments per Core,🚪,0
4c30c394-5b37-494a-b902-23c17d8160a8,d9401432-af8d-41fc-8230-594a70cc2a98,Glass façade on both sides,🏢,0
4c598bfa-dac8-460e-893b-d8abc998d7b2,60fb584b-a3b6-4ade-9adb-8eb02508682d,Vastu-Compliant Layouts,🧭,0
4ca89024-7430-43ef-a2fa-95746b163abf,bfdbaac8-419e-473e-ae73-6edd80f14387,Zen Garden & Landscaped Greens,🌳,0
4d142de2-8fc1-4aa7-8d92-6e66734fb659,4c17e492-2ed5-478e-82e3-2756706a85f9,5-screen multiplex,🎬,0
4e90e85c-70de-4910-bdfd-ea0ebf58655b,bfdbaac8-419e-473e-ae73-6edd80f14387,Smart Home Automation,📱,0
4f6df6d3-a7ac-452b-a712-12657fbf992b,491d8e64-e144-40cd-bf4b-0273fc49acf7,Infinity Swimming Pool,🏊‍♂️,0
5050ca65-1927-499f-8ff4-e44911e7ba42,37475cb7-21c0-4c64-ba62-5174ca162a47,Premium Connectivity,🛣️,0
50621be6-6534-4ac9-9280-0155e8e38217,a3af1f05-e6bb-4a25-a7be-1f9115867304,40:30:30 Payment Plan / 12% Assured Return,💰,0
51c37a58-2cb6-4348-b04a-67fdf469c80a,60fb584b-a3b6-4ade-9adb-8eb02508682d,Prime New Gurgaon Location,📍,0
51e24d1d-60ff-44e9-b82b-1cb467164f17,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,"65,000 Sq.Ft. Luxury Clubhouse",🏛️,0
525ecbd3-0bd7-4e35-a349-dcd0e111f63a,d6239c57-d7ed-4da1-84cc-3330b1ea324c,High-street retail boulevard,🏙️,0
52b5d2c5-6764-419b-8b57-accb59f91cbc,e59debce-1f67-4a5f-ab7e-613fe1441982,"Biophilic, Lutyens-Inspired Design",🌿,0
52cc8c35-3893-40ed-87d6-65c47be1022f,8853edc1-08b4-4512-b7d8-5e10800896fe,Private Dining Cabanas,🛋️,0
53515aa6-9a73-40d5-964d-aed2fa3cbb24,5ff0bc90-310e-4041-b86c-812b13c5bdad,VRV Air Conditioning & Smart Home Technology,❄️,0
53a8288a-a150-465b-aa1d-93cc6b0a6d77,6b799d00-5a0b-4a72-be56-4bd7c78352b0,Modern Clubhouse & Spa,🏛️,0
5407c8b0-fd8d-4b8c-bcc1-fe0cb510b416,2a2c45d5-0f68-459c-a286-0509b7bb6073,Olympic-Size Swimming Pool,🏊,0
54f520cd-7316-4e6b-ae7b-836c7799e305,bfdbaac8-419e-473e-ae73-6edd80f14387,"Luxury Clubhouse (60,000+ sq.ft.)",🏛️,0
