id,projectId,configurationId,unitNumber,type,floor,areaSqFt,frontageFt,ceilingHeightFt,fitOutStatus,nearAnchor,isCorner,visibilityScore,ventilationReady,priceTotal,ratePsf,leaseModel,lockInMonths,escalationPct,availability,notes
448f1748-6ba4-4009-9328-c4de1589ee32,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,,2,APARTMENT,3BHK,2844 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
44c10aad-469c-487e-9df2-114e87d038a4,bfdbaac8-419e-473e-ae73-6edd80f14387,,2,APARTMENT,3BHK,1998 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
451e3e64-5e69-4e95-8293-2b27d763199c,bccdee7e-3f5d-4e88-a0c9-070942334caa,,2,APARTMENT,4BHK + SQ,3800 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
45491e28-31b7-41fe-9f38-2ecde4494c15,ae24318b-3030-428a-94f6-c9c93e7789f6,,1,APARTMENT,4BHK,3315 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
4601a0b6-e558-4435-a796-83667f9efcc1,049251cb-0089-4e71-8624-88c23074f082,,9,APARTMENT,4BHK +SQ,3537 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
49017d28-347d-4c30-bfc8-718aaaec1255,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-7,APARTMENT,4.5 BHK+Utility,3304 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
4b8e9a6c-b07f-45c6-800d-38b797e00385,25c84bea-37cc-4a00-a8eb-a504f8a191f4,,F2-001,RETAIL,2nd Floor,700-1500,,,,false,false,,,,,,,,AVAILABLE,
4ea80936-0f54-4fb5-85a4-7ae7eb13d264,6a3994f8-8b87-441d-8d43-732f7162ac90,,12,APARTMENT,Penthouse,5900 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
50fd4d42-c118-401c-8154-3ea678d71c56,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,,3 BHK,APARTMENT,3rd Floor,2440 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
516c5e4f-ee94-42b5-bc60-89c9f8426b0a,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,,4,APARTMENT,3BHK,1456 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
520b5787-9494-4856-8803-d45e6f72c97e,c4348b89-26f3-4e74-9253-4a68bd32df22,,3,APARTMENT,4 BHK,6050 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
54e7c363-785f-4dd3-aacb-772efb6f4155,982ed68a-ba24-4226-b101-01e7f90de70a,,8,APARTMENT,SP1,140.90 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
5533793f-fc48-4d58-bef2-589f388e9bce,982ed68a-ba24-4226-b101-01e7f90de70a,,9,APARTMENT,SP2,228.88 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
555f9a86-8c0d-497f-8bc9-5272e2b37bfc,37aab4b2-99cd-4d22-9d89-a29e1c2868c4,,2,APARTMENT,4BHK,2346 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
55a491bd-503e-4a75-b9c5-31de71795941,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-17,APARTMENT,4.5 BHK+Utility,3150 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5805eba5-8c4b-46e6-866a-242998862afb,90c0031f-c707-4bed-b8f7-75f690c2b088,,1,APARTMENT,3.5BHK+SQ,2945 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5811d3dc-838e-4517-950c-31d55207c82c,5ff0bc90-310e-4041-b86c-812b13c5bdad,,Head Unit,APARTMENT,4 BHK,4640 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
581fe89a-9abe-42cb-b15f-65a4a30acb32,bccdee7e-3f5d-4e88-a0c9-070942334caa,,4,APARTMENT,Penthouse ,7700  SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
589aef80-9d95-4307-9bdf-a8f9766463e6,3fed7102-bc0c-4fe5-a6b4-b30868757223,,9,APARTMENT,4BHK + UTILITY,2570 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5a5ea313-5eb9-4a89-a0e1-c43a73b7ed36,982ed68a-ba24-4226-b101-01e7f90de70a,,14,APARTMENT,SP7,402.57 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
5b895a23-23ed-485a-a7c1-d00ba1277e71,ae24318b-3030-428a-94f6-c9c93e7789f6,,2,APARTMENT,4BHK,4079 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5c6657d3-e62c-4e8c-9e60-35d84d50f83b,2a2c45d5-0f68-459c-a286-0509b7bb6073,,4,APARTMENT,4BHK,2630 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5cbb89b3-702e-4a29-8d53-251b3661bb8c,bd535d19-6a06-45cc-a692-3d56849d8e89,,3,APARTMENT,4 BHK+SQ,3500 SQFT,,,,false,false,,,,,,,,AVAILABLE,
5d165d2b-d001-4445-aa82-3f92c5a98b5e,25c84bea-37cc-4a00-a8eb-a504f8a191f4,,F3-002,MULTIPLEX,3rd & 4th Floor,9000-12500,,,,false,false,,,,,,,,AVAILABLE,
5efffb99-9885-45d9-8534-f87575be9ccf,3fed7102-bc0c-4fe5-a6b4-b30868757223,,10,APARTMENT,4BHK + STUDY,2670 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
5fa5acad-6c5c-4e86-be94-a2eb2362a98e,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 LG 33,ANCHOR,LG,424.58,,,,false,false,,,,,,,,AVAILABLE,
5ff164dc-c301-4b87-9bfe-161fb6f09686,165ef67e-ef7b-4dde-9a9b-817a92875500,,3,RETAIL,First Floor,300 - 1200 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
6061174c-2a1e-445d-a9d3-99e16ac41875,5ff0bc90-310e-4041-b86c-812b13c5bdad,,Penthouse WingUnit ,APARTMENT,"5BHK ",9470 Sq. FT,,,,false,false,,,,,,,,AVAILABLE,
60884447-7085-4901-982a-23a0e8885f5f,6a3994f8-8b87-441d-8d43-732f7162ac90,,11,APARTMENT,Penthouse,5620 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
60f4a7c3-640a-479e-98a1-63752a8b435b,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 LG 34,ANCHOR,LG,498.97,,,,false,false,,,,,,,,AVAILABLE,
60feab11-11d7-46d4-a945-2261a7518a49,982ed68a-ba24-4226-b101-01e7f90de70a,,11,APARTMENT,SP4,280.00 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
62162c92-2279-41d6-a039-0bbc8aca4404,728db93d-8501-488a-a01b-8917095530a1,,3,APARTMENT,4 BHK,3279 Sq.ft,,,,false,false,,,,,,,,AVAILABLE,
65ea8546-bfd5-4f3a-b616-1c96bdc156b0,049251cb-0089-4e71-8624-88c23074f082,,3,APARTMENT,3BHK +SQ,2847 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
67b1b1ea-3e76-42be-b7a8-37e8737784f3,165ef67e-ef7b-4dde-9a9b-817a92875500,,4,RETAIL,2nd Floor,750 - 1200 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
6a1e9ec1-6970-43a9-ad6f-13b81c3b0a0b,982ed68a-ba24-4226-b101-01e7f90de70a,,7,APARTMENT,G,218.75 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
6af98af0-e821-47ef-baa0-c06f7a057dd9,c05bb44a-4d96-4c65-9703-923dd67a4b91,,4,APARTMENT,4 BHK Large,3562 Sq.ft,,,,false,false,,,,,,,,AVAILABLE,
6b370965-e480-4bc3-acc8-20fdf2f5172c,7dd8456b-dfd9-4960-bf55-5f165feaf48e,,4,APARTMENT,5BHK,6300 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
6bc99c01-97ae-47b9-986b-683b1e768b80,8853edc1-08b4-4512-b7d8-5e10800896fe,,1,APARTMENT,3BHK,2642 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
6d51b844-865d-4812-9ee6-a95d1f96d70b,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-19,APARTMENT,4.5 BHK+Utility,3016 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
6ff1e19b-7c4c-4048-abc6-6c762492d030,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,,4,APARTMENT,4BHK,3531 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
70988af8-9c1c-422f-93df-6d78af615cc5,5ff0bc90-310e-4041-b86c-812b13c5bdad,," Wing Unit ",APARTMENT,5BHK,5444 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
72ef840b-ba37-4365-a31c-1d9223c0ba95,7dd8456b-dfd9-4960-bf55-5f165feaf48e,,1,APARTMENT,3bhk,3150 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
73592434-dd51-42fb-aea3-8c2a8c584559,2a2c45d5-0f68-459c-a286-0509b7bb6073,,1,APARTMENT,2BHK,1420 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
741b7f89-9e74-4d90-80ca-a8fa11f9154f,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-14,APARTMENT,3.5 BHK+Utility,2465 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
7505fa05-6739-4407-bed3-6102ef41e9e5,8b6a09f7-9696-4811-ad43-bad1dea5f324,,2,APARTMENT,4BHK,5472 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
7553bf63-ddf2-4765-b609-b682f3711f35,bd535d19-6a06-45cc-a692-3d56849d8e89,,4,APARTMENT,4 BHK+SQ,4329 SQFT,,,,false,false,,,,,,,,AVAILABLE,
757adce4-48c6-47fe-ab80-7e675c1d3f53,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 161,ANCHOR,FF,662.58,,,,false,false,,,,,,,,AVAILABLE,
75a876d8-ef43-4382-b3b8-184f05d895ee,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-18,APARTMENT,4.5 BHK+Utility,3108 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
7707d4bb-cd52-4386-a64d-2e52b9c261e1,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,,Service Apartment,APARTMENT,Sixth Floor,918,,,,false,false,,,,,,,,AVAILABLE,
7a58c7f8-7651-45ef-bcce-945f0952ba8d,bfdbaac8-419e-473e-ae73-6edd80f14387,,6,APARTMENT,4BHK,2443 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
7dad6e1d-e1ad-4213-acec-bd95ec218713,165ef67e-ef7b-4dde-9a9b-817a92875500,,2,RETAIL,Ground Floor,300 - 1200 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
7e23602e-95f6-49be-979e-7247b430284a,b78f7b94-2629-4566-b8a8-a14b578d3434,,2,APARTMENT,3BHK,2400 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
